==================================================
CONDITIONAL PATH PREDICTABILITY STUDY FULL DETAILS
==================================================

  0.5-1.0      | 3255   |      -0.000303 |  51.80% | $    -6.70 | $   -16.70
   >=1.0       | 3580   |      +0.029337 |  50.73% | $   -15.42 | $   -25.42

Cohort: LONG | K=3m | H=30m | N=22356 | Slope=-0.045706 | 95% CI=[-0.109115, +0.017923]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10993  |      +0.110893 |  52.83% | $    +5.89 | $    -4.11
  0-0.25       | 2488   |      +0.115963 |  53.05% | $    +2.01 | $    -7.99
  0.25-0.5     | 2040   |      -0.131707 |  50.20% | $   -45.34 | $   -55.34
  0.5-1.0      | 3255   |      +0.005204 |  51.31% | $    -9.11 | $   -19.11
   >=1.0       | 3580   |      -0.058884 |  51.06% | $   -24.89 | $   -34.89

Cohort: LONG | K=5m | H=2m | N=22356 | Slope=-0.006952 | 95% CI=[-0.020364, +0.006768]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10997  |      +0.006926 |  50.46% | $    -8.39 | $   -18.39
  0-0.25       | 1860   |      -0.034924 |  48.17% | $   -14.07 | $   -24.07
  0.25-0.5     | 1661   |      +0.017570 |  49.43% | $    -5.66 | $   -15.66
  0.5-1.0      | 2881   |      +0.009854 |  50.23% | $    -7.76 | $   -17.76
   >=1.0       | 4957   |      -0.014963 |  48.01% | $   -12.71 | $   -22.71

Cohort: LONG | K=5m | H=5m | N=22356 | Slope=+0.002416 | 95% CI=[-0.016582, +0.019865]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10997  |      +0.027827 |  50.86% | $    -4.89 | $   -14.89
  0-0.25       | 1860   |      -0.013133 |  51.51% | $    -6.75 | $   -16.75
  0.25-0.5     | 1661   |      -0.002476 |  49.61% | $    -7.20 | $   -17.20
  0.5-1.0      | 2881   |      +0.021858 |  50.47% | $    -7.01 | $   -17.01
   >=1.0       | 4957   |      +0.003041 |  48.88% | $   -10.58 | $   -20.58

Cohort: LONG | K=5m | H=15m | N=22356 | Slope=-0.028677 | 95% CI=[-0.063565, +0.006336]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10997  |      +0.062462 |  52.12% | $    +2.84 | $    -7.16
  0-0.25       | 1860   |      -0.026133 |  50.22% | $   -15.00 | $   -25.00
  0.25-0.5     | 1661   |      +0.006433 |  52.98% | $    -5.22 | $   -15.22
  0.5-1.0      | 2881   |      +0.058820 |  51.75% | $   -12.76 | $   -22.76
   >=1.0       | 4957   |      -0.053028 |  49.71% | $   -19.29 | $   -29.29

Cohort: LONG | K=5m | H=30m | N=22356 | Slope=-0.026766 | 95% CI=[-0.074505, +0.020732]
  Bucket       | N      | Mean Ret (ATR) | % Pos   | Net 1x ($)  | Net 2x ($) 
  ------------ | ------ | -------------- | ------- | ----------- | -----------
   <0 ATR      | 10997  |      +0.110245 |  53.60% | $    +3.14 | $    -6.86
  0-0.25       | 1860   |      -0.004659 |  51.13% | $   -13.48 | $   -23.48
  0.25-0.5     | 1661   |      -0.000194 |  52.02% | $    -0.41 | $   -10.41
  0.5-1.0      | 2881   |      +0.051610 |  52.93% | $   -11.97 | $   -21.97
   >=1.0       | 4957   |      -0.055698 |  50.96% | $   -22.00 | $   -32.00

Cohort: LONG | K=10m | H=2m | N=22356 | Slope=+0.002502 | 95% CI=[-0.017791, +0.030472]
