regime_start_ns,session,anchor,dir,t_touch,time_to_anchor_s,mfe_through,cur,pullback_from_mfe,mae_before,adv1_before,ret15,ret30,ret60,path_eff,n_cross,rv60,accel,fav_share,tod_min,time_to_close_s,trig_rel_entry,dist_to_trig,trig_move60,engine_regime_ok,fixed_outcome,fixed_eligible,term_reach2,win,null_p_fixed,null_fixed_resolved,null_p_term_reach2,null_p_giveback_given_reach2,null_p_term_win,null_sim_unflipped,null_decided_by_touch_bar,block
1685721300000000000,2023-06-02,0.75,1,1685721364000000000,49.0,0.7540579174124256,0.7271272775048389,0.026930639907586706,0.0,0,0.26930639907586623,0.21544511926069299,0.7271272775048389,0.226890756302521,0,0.5918617014952928,0.11669943959954202,1.0,146,18236.0,-0.6383922373459303,1.365519514850769,0.3202340612789576,1,0.0,1,0,1,0.5625,64,0.546875,0.14285714285714285,0.484375,0,0,discovery
1685721300000000000,2023-06-02,1.0,1,1685721388000000000,73.0,1.0772255963034651,1.0233643164882917,0.05386127981517341,0.0,0,0.4039595986137994,0.4039595986137994,0.5924740779669058,0.20430107526881722,0,0.6929081470013528,0.3411214388294306,1.0,146,18212.0,-0.6383922373459303,1.661756553834222,0.3202340612789576,1,0.0,1,0,1,0.765625,64,0.6875,0.1590909090909091,0.609375,0,0,discovery
1685721300000000000,2023-06-02,1.25,1,1685721391000000000,76.0,1.4003932751945045,1.373462635286918,0.026930639907586595,0.0,0,0.861780477042772,0.7271272775048389,0.861780477042772,0.2562814070351759,0,0.712517758433057,0.861780477042772,1.0,146,18209.0,-0.6383922373459303,2.0118548726328482,0.3202340612789576,1,0.0,1,0,1,0.78125,64,0.765625,0.08163265306122448,0.71875,0,0,discovery
1685721300000000000,2023-06-02,1.5,1,1685721462000000000,147.0,1.5619771146400243,1.5619771146400243,0.0,0.0,0,0.511682158244146,0.4039595986137994,0.296237038983453,0.16111111111111112,0,0.5642595693475573,0.5834971979977103,1.0,147,18138.0,-0.4460802540983796,2.008057368738404,0.19231198324755072,1,0.0,1,0,1,0.84375,64,0.8125,0.17307692307692307,0.734375,0,0,discovery
1685721780000000000,2023-06-02,0.25,-1,1685721819000000000,24.0,0.28558471401101415,0.25702624260991275,0.028558471401101404,0.28558471401101415,0,0.4569355424176227,0.25702624260991275,0.25702624260991275,0.19148936170212766,1,0.41483575898173036,0.5235719756868593,0.5,153,17781.0,-1.2868297400916153,1.5438559827015281,0.17304935544845224,1,1.0,1,1,1,0.484375,64,0.5,0.0625,0.484375,0,0,discovery
1685721780000000000,2023-06-02,0.5,-1,1685721825000000000,30.0,0.5426109566209268,0.4283770710165212,0.11423388560440562,0.28558471401101415,0,0.45693554241762263,0.4283770710165212,0.4283770710165212,0.27272727272727276,1,0.4302767569253872,0.46645503288465645,0.6551724137931034,153,17775.0,-1.2868297400916153,1.7152068111081364,0.17304935544845224,1,1.0,1,1,1,0.4375,64,0.40625,0.07692307692307693,0.390625,0,0,discovery
1685721780000000000,2023-06-02,0.75,-1,1685722066000000000,271.0,0.8853126134341439,0.828195670631941,0.05711694280220292,0.48549401381872404,0,0.7139617850275354,0.7139617850275354,1.0566634418407523,0.04468412942989214,11,0.7507130780387147,0.5997278994231298,0.6458333333333334,157,17534.0,-0.6634872205473455,1.4916828911792865,0.044498301682155406,1,1.0,1,1,1,0.515625,64,0.46875,0.1,0.453125,0,0,discovery
1685721780000000000,2023-06-02,1.0,-1,1685722077000000000,282.0,1.028104970439651,0.9709880276374481,0.05711694280220292,0.48549401381872404,0,0.4569355424176226,0.7425202564286367,1.1994557988462593,0.050746268656716415,11,0.7076510307370871,0.20942879027474368,0.679245283018868,157,17523.0,-0.6634872205473455,1.6344752481847937,0.044498301682155406,1,1.0,1,1,1,0.65625,64,0.59375,0.15789473684210525,0.546875,0,0,discovery
1685721780000000000,2023-06-02,1.25,-1,1685722082000000000,287.0,1.3422481558517665,1.2851312130495636,0.05711694280220292,0.48549401381872404,0,0.4283770710165211,1.1423388560440566,1.6278328698627806,0.06588579795021962,11,0.7397691530220836,0.028558471401101293,0.734375,158,17518.0,-0.6278885792017875,1.913019792251351,0.03559864134555801,1,1.0,1,1,1,0.859375,64,0.796875,0.11764705882352941,0.765625,0,0,discovery
1685721780000000000,2023-06-02,1.5,-1,1685722376000000000,581.0,1.5421574556594764,1.513598984258375,0.02855847140110135,0.48549401381872404,0,0.7139617850275354,1.1708973274451582,1.1994557988462595,0.041181041181041184,15,0.7694905104322112,0.5521304470879607,0.7605633802816901,162,17224.0,-0.1845761043512317,1.6981750886096068,0.024725172536877976,1,1.0,1,1,1,0.828125,64,0.796875,0.09803921568627451,0.734375,0,0,discovery
1685721780000000000,2023-06-02,2.0,-1,1685722382000000000,587.0,2.2275607692859105,2.0276514694782004,0.1999092998077101,0.48549401381872404,0,0.6568448422253326,1.456482041456172,1.656391341263882,0.05415713196033562,15,0.8286879117872168,0.32366267587914943,0.8210526315789474,163,17218.0,-0.15337257776141344,2.181024047239614,0.03120352658981826,1,,0,1,1,1.0,64,1.0,0.15625,0.84375,0,0,discovery
1685722860000000000,2023-06-02,0.25,1,1685722884000000000,9.0,0.3408644943809494,0.3408644943809494,0.0,0.052440691443222984,0,0.3408644943809494,0.3408644943809494,0.3408644943809494,0.6190476190476191,0,0.2884238029377264,0.3408644943809494,0.8666666666666666,171,16716.0,-1.2891654987836199,1.6300299931645692,0.3714533985272177,1,1.0,1,0,0,0.34375,64,0.328125,0.0,0.375,0,0,discovery
1685722860000000000,2023-06-02,0.5,1,1685722889000000000,14.0,0.5244069144322299,0.5244069144322299,0.0,0.052440691443222984,0,0.5244069144322299,0.5244069144322299,0.5244069144322299,0.7142857142857143,0,0.3102433144590165,0.5244069144322299,0.9090909090909092,171,16711.0,-1.2891654987836199,1.8135724132158497,0.3714533985272177,1,1.0,1,0,0,0.53125,64,0.546875,0.11428571428571428,0.515625,0,0,discovery
1685722860000000000,2023-06-02,0.75,1,1685723123000000000,248.0,0.7603900259267332,0.7603900259267332,0.0,0.052440691443222984,0,0.20976276577289188,0.5506272601538413,0.3146441486593379,0.0675990675990676,0,0.517810338450985,0.17480230481074321,0.935483870967742,175,16477.0,-0.493529884397028,1.2539199103237613,0.12338247109925699,1,1.0,1,0,0,0.640625,64,0.53125,0.11764705882352941,0.484375,0,0,discovery
1685723280000000000,2023-06-02,0.25,-1,1685723348000000000,53.0,0.3671678952181178,0.09179197380452946,0.27537592141358835,0.42836254442113747,0,0.3059732460150982,0.3671678952181178,0.09179197380452946,0.0379746835443038,3,0.42507161825348966,0.37736700341862106,0.4615384615384615,179,16252.0,-0.7844001216321629,0.8761920954366923,0.13929346902198825,1,0.0,1,0,0,0.40625,64,0.390625,0.12,0.359375,0,0,discovery
1685723460000000000,2023-06-02,0.25,1,1685723700000000000,225.0,0.31811666214152245,0.254493329713218,0.06362333242830448,1.6542066431359168,1,0.6044216580688926,0.4771749932122837,0.763479989139654,0.01673640167364017,4,0.5831174736360877,0.5514022143786388,0.16129032258064516,185,15900.0,-1.2012939376130969,1.4557872673263148,0.21612380530141584,1,,0,1,1,0.34375,64,0.34375,0.18181818181818182,0.28125,0,0,discovery
1685723460000000000,2023-06-02,0.5,1,1685723706000000000,231.0,0.5726099918547404,0.4771749932122837,0.09543499864245669,1.6542066431359168,1,0.4453633269981314,0.7634799891396539,0.7634799891396539,0.030549898167006113,4,0.5951417793788488,0.33932443961762393,0.2571428571428571,185,15894.0,-1.2012939376130969,1.6784689308253806,0.21612380530141584,1,,0,1,1,0.515625,64,0.546875,0.11428571428571428,0.484375,0,0,discovery
1685723460000000000,2023-06-02,0.75,1,1685723722000000000,247.0,0.7634799891396539,0.6680449904971971,0.09543499864245675,1.6542066431359168,1,0.12724666485660896,0.6998566567113493,0.7316683229255017,0.04061895551257253,4,0.5426663737788668,-0.07422722116635527,0.3157894736842105,185,15878.0,-1.2012939376130969,1.869338928110294,0.21612380530141584,1,,0,1,1,0.5,64,0.5625,0.2222222222222222,0.4375,0,0,discovery
1685723460000000000,2023-06-02,1.0,1,1685723778000000000,303.0,1.017973318852872,0.9861616526387196,0.03181166621415232,1.6542066431359168,1,0.4453633269981314,0.7952916553538061,0.5407983256405882,0.05090311986863711,4,0.5351550582511015,0.41355166078397915,0.38095238095238093,186,15822.0,-0.9483104836048166,1.9344721362435362,0.25298345400828026,1,,0,1,1,0.765625,64,0.703125,0.2222222222222222,0.546875,0,0,discovery
1685723460000000000,2023-06-02,1.25,1,1685723852000000000,377.0,1.2724666485660898,1.2088433161377854,0.06362333242830442,1.6542066431359168,1,0.22268166349906582,0.22268166349906582,0.4135516607839793,0.050397877984084884,4,0.6542693874824259,0.15905833107076134,0.43478260869565216,187,15748.0,-0.6632133882413039,1.8720567043790894,0.2850970953635127,1,,0,1,1,0.71875,64,0.703125,0.2,0.578125,0,0,discovery
1685723460000000000,2023-06-02,1.5,1,1685723863000000000,388.0,1.5905833107076122,1.55877164449346,0.0318116662141521,1.6542066431359168,1,0.5726099918547405,0.5089866594264361,0.5407983256405882,0.06355382619974059,4,0.6241899641282649,0.5832138805927912,0.49019607843137253,187,15737.0,-0.6632133882413039,2.221985032734764,0.2850970953635127,1,,0,1,1,0.859375,64,0.84375,0.18518518518518517,0.6875,0,0,discovery
