outcome,anchor,variable,variant,block,n_used,delta,lo,hi,primary,meaningful
A_raw,1.5,pullback_from_mfe,plain,replication,382,-0.012802197802197714,-0.08865745122080004,0.07051435655163757,True,False
A_raw,1.5,pullback_from_mfe,plain,pooled,1492,-0.005529846253380821,-0.045065553808641835,0.035505090335245876,True,False
A_raw,1.5,mae_before,plain,discovery,1110,-0.010810810810810811,-0.05292238811715497,0.032793041355130455,True,False
A_raw,1.5,mae_before,plain,replication,383,-0.029984721161191663,-0.11247462598247938,0.06178399813320123,True,False
A_raw,1.5,mae_before,plain,pooled,1493,-0.015463658518202084,-0.05569642543618173,0.02266024499328468,True,False
A_raw,1.5,ret30,plain,discovery,1110,0.009009009009009028,-0.033133885637547995,0.05040239128465045,True,False
A_raw,1.5,ret30,plain,replication,350,0.020537864597270472,-0.05475130497586712,0.0939707167832168,True,False
A_raw,1.5,ret30,plain,pooled,1460,0.012719595769029146,-0.023357272141100744,0.04907661738044031,True,False
A_raw,1.5,ret15,plain,discovery,1110,0.03423423423423422,-0.0035309189601960464,0.07258786658685197,False,False
A_raw,1.5,ret15,plain,replication,356,-0.015460729746444081,-0.09797807617101095,0.06996275783040493,False,False
A_raw,1.5,ret15,plain,pooled,1466,0.024164317358034593,-0.009723408519856522,0.060884860316878064,False,False
A_raw,1.5,ret60,plain,discovery,1110,-0.003603603603603567,-0.042381204296089,0.038934095240620255,False,False
A_raw,1.5,ret60,plain,replication,358,0.008227351232532598,-0.06288024949198467,0.08791127782004321,False,False
A_raw,1.5,ret60,plain,pooled,1468,-0.0005273321449792423,-0.03539783173000104,0.03463145514383551,False,False
A_raw,1.5,path_eff,plain,discovery,1109,-0.011100269945035213,-0.04918491938383585,0.02780695572805519,False,False
A_raw,1.5,path_eff,plain,replication,374,0.010244963369963278,-0.07414826975788032,0.0921029948647097,False,False
A_raw,1.5,path_eff,plain,pooled,1483,-0.0051983295500844795,-0.039752383939634,0.031728924131678174,False,False
A_raw,1.5,n_cross,plain,discovery,1113,-0.004032231691444399,-0.04496344052277355,0.03821110953155045,False,False
A_raw,1.5,n_cross,plain,replication,392,0.01791666666666658,-0.06720941887554127,0.10590433235752436,False,False
A_raw,1.5,n_cross,plain,pooled,1505,0.0008596845331538816,-0.037586488273299655,0.03847795408095509,False,False
A_raw,1.5,rv60,plain,discovery,1110,0.021621621621621623,-0.015064961523144701,0.06182107379282413,False,False
A_raw,1.5,rv60,plain,replication,354,0.006850879196163561,-0.07495336542644666,0.08876633866262967,False,False
A_raw,1.5,rv60,plain,pooled,1464,0.018626622915529967,-0.015506775958131451,0.055424921518620614,False,False
A_raw,1.5,accel,plain,discovery,1110,0.05585585585585584,0.016263466151426667,0.0951402156932115,False,True
A_raw,1.5,accel,plain,replication,345,-0.01999588420908216,-0.09825324589295184,0.06170163395997411,False,False
A_raw,1.5,accel,plain,pooled,1455,0.03851086528858083,0.004305765236291817,0.07442544288045526,False,False
A_raw,1.5,fav_share,plain,discovery,1109,0.014128207630012657,-0.02952658737296355,0.05557177998942652,False,False
A_raw,1.5,fav_share,plain,replication,386,0.028684231729917076,-0.06513204330544105,0.11462781225427054,False,False
A_raw,1.5,fav_share,plain,pooled,1495,0.017669988402559955,-0.021595121489158264,0.05830289793611791,False,False
A_raw,1.5,tod_min,plain,discovery,1110,-0.005405405405405461,-0.04399365943731404,0.028421700853422386,False,False
A_raw,1.5,tod_min,plain,replication,359,0.0179503105590062,-0.05093829783573751,0.092072474658753,False,False
A_raw,1.5,tod_min,plain,pooled,1469,0.0007544441766920151,-0.03203764871351957,0.036547561685570315,False,False
B_res_N3,0.25,time_to_anchor_s,tod_stratified,discovery,2644,-0.03958655599165335,-0.0773684743246998,-0.0035429760644398707,True,False
B_res_N3,0.25,time_to_anchor_s,plain,discovery,2644,-0.04135631955484897,-0.07953542227508842,-0.005552468419818411,True,False
B_res_N3,0.25,time_to_anchor_s,tod_stratified_excl_last_hour,discovery,2576,-0.03836946065133594,-0.07803762902351032,-0.0016129128486834453,True,False
B_res_N3,0.25,time_to_anchor_s,tod_stratified,replication,867,-0.026285696117460514,-0.09109350574767683,0.033660180610849605,True,False
B_res_N3,0.25,time_to_anchor_s,plain,replication,867,-0.028374546339853982,-0.09155157994366807,0.031869593853460214,True,False
B_res_N3,0.25,time_to_anchor_s,tod_stratified_excl_last_hour,replication,848,-0.020902103855126128,-0.08567111309735773,0.040754569649835454,True,False
B_res_N3,0.25,time_to_anchor_s,tod_stratified,pooled,3511,-0.03671898025068188,-0.06998530981394185,-0.005036075871700202,True,False
B_res_N3,0.25,time_to_anchor_s,plain,pooled,3511,-0.03849603667445939,-0.07145316176730634,-0.006097477742566487,True,False
B_res_N3,0.25,time_to_anchor_s,tod_stratified_excl_last_hour,pooled,3424,-0.03427795230525615,-0.06731120719301156,-0.0014896848598554033,True,False
B_res_N3,0.25,pullback_from_mfe,plain,discovery,2586,0.015069122196442382,-0.026558782279552214,0.05844723840823573,True,False
B_res_N3,0.25,pullback_from_mfe,plain,replication,844,0.016633007847634468,-0.05312394057744759,0.08433966486566238,True,False
B_res_N3,0.25,pullback_from_mfe,plain,pooled,3430,0.015378917973947213,-0.021404556275463393,0.05228814656315267,True,False
B_res_N3,0.25,mae_before,plain,discovery,2586,-0.002900232018561485,-0.03830719164899713,0.03219397042323825,True,False
B_res_N3,0.25,mae_before,plain,replication,844,0.016814121209566366,-0.05099705380400113,0.0838866129032615,True,False
B_res_N3,0.25,mae_before,plain,pooled,3430,0.0016757373882034209,-0.02822160717356765,0.0317829256128127,True,False
B_res_N3,0.25,ret30,plain,discovery,2586,-0.030138244392884768,-0.07218782029423465,0.009312548759864061,True,False
B_res_N3,0.25,ret30,plain,replication,871,-0.054213797922269685,-0.11697415699718262,0.0017965311921203796,True,False
B_res_N3,0.25,ret30,plain,pooled,3457,-0.03624683994146633,-0.06915234806656162,-0.001563892539084481,True,False
B_res_N3,0.25,ret15,plain,discovery,2586,0.0019334880123743244,-0.038691921563908334,0.04283435834612091,False,False
B_res_N3,0.25,ret15,plain,replication,859,-0.021477252005835158,-0.09476842892252253,0.048515969160808595,False,False
B_res_N3,0.25,ret15,plain,pooled,3445,-0.004422698061525496,-0.03894590470619761,0.029511334272510025,False,False
B_res_N3,0.25,ret60,plain,discovery,2586,0.00633217324052591,-0.04209186141426588,0.047886121136909106,False,False
B_res_N3,0.25,ret60,plain,replication,864,-0.017484973432062755,-0.06620377704868963,0.03500321489615582,False,False
B_res_N3,0.25,ret60,plain,pooled,3450,0.00035267134576192835,-0.035900234013283204,0.035149455406426944,False,False
B_res_N3,0.25,path_eff,plain,discovery,2587,0.025108786846886694,-0.007668569397210472,0.058285170341886405,False,False
B_res_N3,0.25,path_eff,plain,replication,849,0.0029051054384017783,-0.061680683058334934,0.07004000703230462,False,False
B_res_N3,0.25,path_eff,plain,pooled,3436,0.019593565550734316,-0.010420808352961995,0.04746135428546054,False,False
B_res_N3,0.25,n_cross,plain,discovery,2963,-0.03864776264948919,-0.07502021421972421,-0.004663605703030188,False,False
B_res_N3,0.25,n_cross,plain,replication,990,0.02536574868638533,-0.03149328659659505,0.08231933897680001,False,False
B_res_N3,0.25,n_cross,plain,pooled,3953,-0.022537331111970177,-0.05347432578169254,0.007459070540975992,False,False
B_res_N3,0.25,rv60,plain,discovery,2586,-0.0277334686774942,-0.06179140054437969,0.008645225877183233,False,False
B_res_N3,0.25,rv60,plain,replication,832,0.025683268590455048,-0.04949543831439075,0.09558784145553553,False,False
B_res_N3,0.25,rv60,plain,pooled,3418,-0.01484816286250474,-0.045609707700825855,0.019404498707520753,False,False
B_res_N3,0.25,accel,plain,discovery,2586,0.004809551430781132,-0.03550162387378467,0.044603973147841945,False,False
B_res_N3,0.25,accel,plain,replication,873,-0.011922254415011036,-0.08801924493560731,0.05927643914562217,False,False
B_res_N3,0.25,accel,plain,pooled,3459,0.0005463451110669787,-0.0356886360218268,0.03515841658382051,False,False
B_res_N3,0.25,fav_share,plain,discovery,2581,0.008607652574421273,-0.024479936384914556,0.04360628600942478,False,False
B_res_N3,0.25,fav_share,plain,replication,863,-0.01945790740800551,-0.08612752157732799,0.04917390306547103,False,False
B_res_N3,0.25,fav_share,plain,pooled,3444,0.002000402436289,-0.02741880146425801,0.0314553285115957,False,False
B_res_N3,0.25,tod_min,plain,discovery,2589,-0.02523139445369426,-0.06046110429644598,0.006151835315901674,False,False
B_res_N3,0.25,tod_min,plain,replication,846,-0.030977531857813545,-0.09463139571366579,0.032625974290217546,False,False
B_res_N3,0.25,tod_min,plain,pooled,3435,-0.02663361301805238,-0.0560952330615778,0.004790535716300647,False,False
B_res_N3,0.5,time_to_anchor_s,tod_stratified,discovery,2278,-0.025963282993853355,-0.0654481610939994,0.01489024823692108,True,False
B_res_N3,0.5,time_to_anchor_s,plain,discovery,2278,-0.027206038092719806,-0.0676024559046401,0.013508499895955633,True,False
B_res_N3,0.5,time_to_anchor_s,tod_stratified_excl_last_hour,discovery,2217,-0.027890279420132207,-0.0689169532164706,0.012939908262464632,True,False
B_res_N3,0.5,time_to_anchor_s,tod_stratified,replication,764,-0.02288017773801731,-0.09145304406061266,0.0429723595204533,True,False
B_res_N3,0.5,time_to_anchor_s,plain,replication,764,-0.023570307359069977,-0.09150498138090724,0.04101224643037464,True,False
B_res_N3,0.5,time_to_anchor_s,tod_stratified_excl_last_hour,replication,744,-0.018324423436934852,-0.08774741056948461,0.0489458207280227,True,False
B_res_N3,0.5,time_to_anchor_s,tod_stratified,pooled,3042,-0.02514047531235279,-0.06267267917441081,0.007732130976166567,True,False
B_res_N3,0.5,time_to_anchor_s,plain,pooled,3042,-0.026481116309076885,-0.0642038344086637,0.006491858720141991,True,False
B_res_N3,0.5,time_to_anchor_s,tod_stratified_excl_last_hour,pooled,2961,-0.02536053597122556,-0.06424934104777759,0.008492728793823031,True,False
B_res_N3,0.5,pullback_from_mfe,plain,discovery,2262,-0.017047966401414677,-0.05760951905443557,0.021658811527495367,True,False
B_res_N3,0.5,pullback_from_mfe,plain,replication,733,0.015481563504522691,-0.05417146126802353,0.08378927541105982,True,False
B_res_N3,0.5,pullback_from_mfe,plain,pooled,2995,-0.008853486456457182,-0.047149663734835666,0.02820594466213424,True,False
B_res_N3,0.5,mae_before,plain,discovery,2262,-0.013096816976127322,-0.05096458689502263,0.02862616297660714,True,False
