elapsed_s,subset,contrast,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
285,ALIVE,C3,mae,1434,2872,0.45591130228469856,"[0.19120893115093607, 0.8468756392411478]",0.7324403592779829,"[0.3830887585611311, 1.1405800997274245]",0.5956275451161014,0.8147664269112294,-0.38409652815187106,0.3664600111498312,0.34922448502474907,0.38358123455913634,True
285,ALIVE,C3,cur,1434,2872,1.1593346499102573,"[0.4131212972275883, 1.9562582708516603]",0.14690909576649927,"[-0.39661956242343704, 0.760353359823407]",1.2714013559197654,0.1781938059131774,1.079655878973618,0.766788848614818,0.7529921167381595,0.7809094638624009,True
285,ALIVE,C3,fav_share,1434,2872,0.8,"[0.5849056603773585, 0.923728813559322]",0.5664658634538152,"[0.3333333333333333, 0.7741935483870968]",0.7280639640550558,0.5463465275332069,0.6903255139748833,0.6958008210860013,0.6805177484375025,0.7113678081370737,True
285,ALIVE,C3,mfe_rate,1434,2872,0.36165960234808375,"[0.22033651308356708, 0.5320947579952495]",0.19753741829045557,"[0.10898272316038973, 0.3052072657070121]",0.410012094799122,0.2154813391639244,1.0013253103615614,0.7387717411995975,0.7235759716061877,0.753779028966753,True
285,ALIVE,C3,mae_rate,1434,2872,0.09598132679677865,"[0.0402545118212497, 0.17828960826129428]",0.1541979703743122,"[0.08065026496023814, 0.24012212625840512]",0.12539527265602135,0.1715297740865746,-0.38409652815187106,0.3664600111498312,0.34922448502474907,0.38358123455913634,True
285,ALIVE,C3,d_mfe,1434,2872,0.2768718755449009,"[0.0, 0.7927018640824701]",0.0,"[0.0, 0.26667140730812344]",0.4998327585079554,0.1846962513943731,0.6839038306635935,0.6646225714152516,0.6482908972170914,0.681032379242185,True
285,ALIVE,C3,d_mae,1434,2872,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.08837698068315952]",0.04020888633934303,0.10224821917492223,-0.31217461083399795,0.4142877365454171,0.4022859958727724,0.42589588574625986,False
285,ALIVE,C3,fav_expand_adv_stall,1434,2872,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.6283124128312413,0.3774373259052925,0.5179490832105962,0.6254375434629744,0.6116340617020872,0.6399892163853618,True
285,ALIVE,C3,adv_expand_fav_stall,1434,2872,0.0,"[0.0, 0.0]",0.0,"[0.0, 1.0]",0.099721059972106,0.2604456824512535,-0.403784604472023,0.41963768876042623,0.4084007222639487,0.43105197828821895,False
285,ALIVE,C3,aligned_5m,1379,2750,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.564902102973169,0.45345454545454544,0.22412216436565446,0.5557237787593118,0.5401004762082906,0.571658329141772,False
285,ALIVE,C3,aligned_15m,1380,2752,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.48840579710144927,0.4643895348837209,0.04810655443399084,0.5120081311088641,0.4966165965151604,0.5288839094231808,False
285,ALIVE,C3,aligned_1h,1381,2752,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.501810282404055,0.485828488372093,0.03196447349689293,0.507990897015981,0.4906302928558735,0.5244684614973278,False
285,ALIVE,C3,trans_5m,1379,2750,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.1457577955039884,0.05018181818181818,0.35286137051198063,0.5477879886610851,0.5377850364944751,0.556899856464089,False
285,ALIVE,C3,n_htf_aligned,1378,2750,2.0,"[1.0, 3.0]",1.0,"[0.0, 2.0]",1.5558780841799709,1.4036363636363636,0.13623966947411217,0.5382079430003959,0.5197947878120637,0.557508201111306,False
285,PRE2,C1,mfe,1366,2106,1.167101214676359,"[0.7222023529337385, 1.585604253339201]",0.799506379799668,"[0.4417761830845981, 1.1986000248352473]",1.1386067830051942,0.837495562242841,0.5986766146881414,0.6642719886985382,0.6442396222710763,0.685625021392515,True
285,PRE2,C1,mae,1366,2106,0.6013848570759949,"[0.3096210710548729, 0.9942830737256946]",0.8181508436390912,"[0.4763760205395344, 1.2212479600198567]",0.7080215769614081,0.8906516416028483,-0.3286974493291887,0.393533291898348,0.37409197184523774,0.4111663548146101,True
285,PRE2,C1,cur,1366,2106,0.5700919123678445,"[0.048061027295644744, 1.0961829995270804]",-0.04013534543295744,"[-0.5308233392287671, 0.45766114192875795]",0.5358250945913515,-0.04184431630168068,0.7863627274185566,0.7174808363192942,0.698608965916687,0.7366244311293328,True
285,PRE2,C1,fav_share,1366,2106,0.6647940074906367,"[0.44957865168539324, 0.816016333938294]",0.48994755244755245,"[0.28098665730337075, 0.6970429226736566]",0.6210808907537896,0.4887219478660147,0.5175607266409286,0.6455089272927242,0.6264746309721314,0.6665194300444734,True
285,PRE2,C1,mfe_rate,1366,2106,0.24570551887923353,"[0.15204260061762914, 0.3338114217556213]",0.1683171325894038,"[0.09300551222833645, 0.2523368473337363]",0.2397066911589883,0.17631485520901916,0.5986766146881418,0.6642719886985382,0.6442396222710763,0.685625021392515,True
285,PRE2,C1,mae_rate,1366,2106,0.1266073383317884,"[0.06518338337997326, 0.20932275236330414]",0.17224228287138763,"[0.10028968853463882, 0.2571048336883909]",0.14905717409713853,0.18750560875849434,-0.3286974493291886,0.393533291898348,0.37409197184523774,0.4111663548146101,True
285,PRE2,C1,d_mfe,1366,2106,0.09462445488483673,"[0.0, 0.46770953982390834]",0.0,"[0.0, 0.17830284791713946]",0.27207342569153103,0.13476464307951855,0.460122632669694,0.61746957378973,0.6017650230305083,0.6347107031339256,True
