event,outcome,variable,n_pos,n_neg,med_pos,iqr_pos,med_neg,iqr_neg,mean_pos,mean_neg,cohen_d,auc,auc_lo,auc_hi,meaningful
fav_0p5,win_given_plus2 (C2),mae_through_touch,1847,373,0.3053521344961193,"[0.10854053615578235, 0.6498059534925429]",0.2855285927835825,"[0.10736670057172437, 0.6954974326774915]",0.4581812320742765,0.5142190956088735,-0.107864636672456,0.4911841679355407,0.4507405480559703,0.5307612009757311,False
fav_0p5,win_given_plus2 (C2),adv0p5_before,1847,373,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.339469409853817,0.3512064343163539,-0.02474147436174787,0.49413148776873156,0.46438753452118703,0.5226832774711868,False
fav_0p5,win_given_plus2 (C2),adv1_before,1847,373,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.12885760693015702,0.17158176943699732,-0.12470245136397387,0.47863791874657985,0.45768923780889526,0.4987124343452189,False
fav_0p5,win_given_plus2 (C2),aligned_5m,1764,369,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.41609977324263037,0.44986449864498645,-0.06835854990643196,0.48311763729882196,0.4541409224092476,0.5105109399104878,False
fav_0p5,win_given_plus2 (C2),aligned_15m,1764,371,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4671201814058957,0.4555256064690027,0.02323583964182323,0.5057972874684465,0.478781361225755,0.5347762120620936,False
fav_0p5,win_given_plus2 (C2),aligned_1h,1765,371,1.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.5053824362606232,0.46630727762803237,0.07814828793899524,0.5195375793162954,0.4920314674586139,0.5459467518000465,False
fav_0p5,win_given_plus2 (C2),trans_5m,1764,369,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.009070294784580499,0.008130081300813009,0.010002013736111632,0.5004701067418837,0.4947660631061938,0.5049423428921519,False
fav_1p0,reach_plus2,t_since_t0_s,2220,1308,144.0,"[66.0, 280.0]",167.0,"[74.75, 303.5]",207.3554054054054,228.68960244648318,-0.104330346113754,0.4686237843347935,0.4482749629887525,0.489624127533657,False
fav_1p0,reach_plus2,s_from_prev_level,2220,1308,49.0,"[16.0, 134.0]",56.5,"[19.0, 147.25]",105.83513513513513,116.17660550458716,-0.06945362945866189,0.473955319998898,0.4561094499369252,0.49303850742986544,False
fav_1p0,reach_plus2,mae_through_touch,2220,1308,0.4212119156988111,"[0.16670944521363806, 0.8276393788400987]",0.43687921787195416,"[0.1635784645244988, 0.8448285678624081]",0.576325746602008,0.5803730381139711,-0.007376326397773121,0.4928403173816018,0.4733418027782002,0.5113591224042969,False
fav_1p0,reach_plus2,adv0p5_before,2220,1308,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.44324324324324327,0.4533639143730887,-0.020351258287274562,0.49493966443507725,0.47723690747641073,0.5107927813116538,False
fav_1p0,reach_plus2,adv1_before,2220,1308,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.18603603603603602,0.18960244648318042,-0.009137479621281235,0.49821679477642783,0.4848285125251013,0.51105315735696,False
fav_1p0,reach_plus2,aligned_5m,2133,1273,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.4378809188935771,0.44069128043990574,-0.005661480061350553,0.4985948192268357,0.4811653267607833,0.5163746247055376,False
fav_1p0,reach_plus2,aligned_15m,2135,1274,0.0,"[0.0, 1.0]",0.0,"[0.0, 1.0]",0.468384074941452,0.47331240188383045,-0.009871392026087758,0.4975358365288108,0.47957098450230745,0.5159906454097436,False
fav_1p0,reach_plus2,aligned_1h,2136,1274,0.0,"[0.0, 1.0]",0.5,"[0.0, 1.0]",0.49625468164794007,0.5,-0.007488571314653642,0.49812734082397003,0.48218395810228054,0.5151481839134544,False
fav_1p0,reach_plus2,trans_5m,2133,1273,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.024847632442569153,0.01178318931657502,0.09346611570650681,0.506532221562997,0.5020988523781938,0.5110553163231404,False
fav_1p0,reach_plus3,t_since_t0_s,1440,2088,140.0,"[62.75, 273.25]",161.0,"[75.0, 299.0]",201.2201388888889,224.95114942528735,-0.11609292996639468,0.46380773733503616,0.445733213373955,0.4826550808794565,False
