regime_start_ns,event,t_since_t0_s,mae_through_touch,adv0p5_before,adv1_before,s_from_prev_level,aligned_5m,trans_5m,aligned_15m,trans_15m,aligned_1h,trans_1h
1672940340000000000,fav_1p0,288.0,0.6927584201209125,1,0,61.0,1.0,0.0,1.0,0.0,1.0,0.0
1672940340000000000,fav_1p5,431.0,0.6927584201209125,1,0,143.0,1.0,0.0,1.0,0.0,1.0,0.0
1672940340000000000,fav_2p0,867.0,0.6927584201209125,1,0,436.0,1.0,0.0,1.0,0.0,1.0,0.0
1672942860000000000,fav_0p5,30.0,1.1173179041889398,1,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0
1672942860000000000,fav_1p0,38.0,1.1173179041889398,1,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1672942860000000000,fav_1p5,45.0,1.1173179041889398,1,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1672942860000000000,fav_2p0,49.0,1.1173179041889398,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1672944240000000000,fav_0p5,68.0,0.45053011857576175,0,0,68.0,0.0,0.0,0.0,0.0,1.0,0.0
1672944240000000000,fav_1p0,849.0,0.815244976470426,1,0,781.0,0.0,0.0,0.0,0.0,1.0,0.0
1672944240000000000,fav_1p5,868.0,0.815244976470426,1,0,19.0,0.0,0.0,0.0,0.0,1.0,0.0
1672944240000000000,fav_2p0,1817.0,0.815244976470426,1,0,949.0,0.0,0.0,0.0,0.0,1.0,0.0
1672947420000000000,fav_0p5,5.0,0.0,0,0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
1672947420000000000,fav_1p0,6.0,0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1672947420000000000,fav_1p5,26.0,0.0,0,0,20.0,0.0,0.0,1.0,0.0,0.0,0.0
1672947420000000000,fav_2p0,32.0,0.0,0,0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
1672948620000000000,fav_0p5,25.0,0.0,0,0,25.0,0.0,0.0,0.0,0.0,1.0,0.0
1672948620000000000,fav_1p0,57.0,0.0,0,0,32.0,0.0,0.0,0.0,0.0,1.0,0.0
1672948620000000000,fav_1p5,151.0,0.0,0,0,94.0,0.0,0.0,0.0,0.0,1.0,0.0
1672948620000000000,fav_2p0,171.0,0.0,0,0,20.0,0.0,0.0,0.0,0.0,1.0,0.0
1672951440000000000,fav_0p5,346.0,2.702857655101139,1,1,346.0,1.0,0.0,1.0,0.0,1.0,0.0
1672951440000000000,fav_1p0,349.0,2.702857655101139,1,1,3.0,1.0,0.0,1.0,0.0,1.0,0.0
1672951440000000000,fav_1p5,396.0,2.702857655101139,1,1,47.0,1.0,0.0,1.0,0.0,1.0,0.0
1672951440000000000,fav_2p0,547.0,2.702857655101139,1,1,151.0,1.0,0.0,1.0,0.0,1.0,0.0
1672952700000000000,fav_0p5,593.0,0.7777651720360155,1,0,593.0,,,,,,
1672952700000000000,fav_1p0,884.0,0.7777651720360155,1,0,291.0,,,,,,
1672952700000000000,fav_1p5,1007.0,0.7777651720360155,1,0,123.0,,,,,,
