anchor,block,lag,outcome,rho_raw,rho_null,rho_residual
1.5,replication,price_to_trig,add_mfe,0.1150554002367859,0.24664264089307486,0.047497472194135484
1.5,replication,mfe_to_trig,final_pnl,-0.009024824210047144,0.021700424553983508,-0.009015021550553915
1.5,replication,mfe_to_trig,giveback,0.32904533320810475,0.4704182142904313,0.1710535777441552
1.5,replication,mfe_to_trig,add_mfe,0.11029138563595879,0.23256122133013216,0.0489457692087564
1.5,replication,catchup1,final_pnl,0.03747656687305672,-0.002619122392764531,0.03934828835624379
1.5,replication,catchup1,giveback,0.06270015159497577,0.09122480815824578,0.021828979441490648
1.5,replication,catchup1,add_mfe,0.07026575283565588,0.058249745751892,0.05822410081286018
1.5,pooled,trig_pos,final_pnl,0.05039741892504264,-0.0177541132143339,0.053031777446260336
1.5,pooled,trig_pos,giveback,-0.32791944653459704,-0.45217659973280866,-0.19110410911387798
1.5,pooled,trig_pos,add_mfe,-0.09442024659886249,-0.2536600005252381,-0.02525642531622497
1.5,pooled,price_to_trig,final_pnl,-0.03923919127762915,0.08930283605284249,-0.057049504530355295
1.5,pooled,price_to_trig,giveback,0.33150472647508156,0.4592522916548067,0.19182885711356584
1.5,pooled,price_to_trig,add_mfe,0.09742741890023789,0.27880176099818293,0.019718470609522486
1.5,pooled,mfe_to_trig,final_pnl,-0.04993508381271678,0.0653445182776734,-0.0631518887371277
1.5,pooled,mfe_to_trig,giveback,0.3433526685644785,0.46820526989560934,0.2013792749323094
1.5,pooled,mfe_to_trig,add_mfe,0.08623892329237665,0.24671851808848616,0.02020631171720218
1.5,pooled,catchup1,final_pnl,0.026332589726910566,0.049423179715759206,0.020033616232228633
1.5,pooled,catchup1,giveback,0.06258559087746855,0.11510881188259481,0.026209375363288316
1.5,pooled,catchup1,add_mfe,0.060148081919864385,0.10822223162013538,0.028555533282427856
2.0,discovery,trig_pos,final_pnl,0.08068600136026698,-0.021418993637050337,0.08244957781838098
2.0,discovery,trig_pos,giveback,-0.40323922552813196,-0.5291950175275215,-0.2492848613241117
2.0,discovery,trig_pos,add_mfe,-0.10350072909816627,-0.30533564622625325,-0.02488951485238776
2.0,discovery,price_to_trig,final_pnl,-0.07547698874185148,0.09414699634887667,-0.09094952261170032
2.0,discovery,price_to_trig,giveback,0.4023423224134743,0.5255321641028415,0.2482446721716025
2.0,discovery,price_to_trig,add_mfe,0.1028644693664782,0.32900223381610477,0.014633449543955726
2.0,discovery,mfe_to_trig,final_pnl,-0.08237925732069085,0.06550359732359035,-0.09382665498772774
2.0,discovery,mfe_to_trig,giveback,0.41299585791613436,0.5374076125871743,0.2566441481605975
2.0,discovery,mfe_to_trig,add_mfe,0.09376703352294177,0.2938271192802289,0.018920603711992966
2.0,discovery,catchup1,final_pnl,0.03369863513436591,-0.0004007330321635432,0.03452253799548236
2.0,discovery,catchup1,giveback,0.07117506964147696,0.15745661974786296,0.02015516130982798
