anchor,block,excl_last_hour,outcome,kind,slow_minus_fast,lo,hi
3.0,discovery,False,final_pnl,null,-0.029688452168956898,-0.09669955159868986,0.034221927060738115
3.0,discovery,False,final_pnl,res,0.1896552423798005,-0.2474001906453719,0.6399928216807561
3.0,discovery,False,giveback,real,-0.908453115847698,-1.112680134830004,-0.7101020964940241
3.0,discovery,False,giveback,null,-0.3384771595157785,-0.3797189981272514,-0.29446357607588425
3.0,discovery,False,giveback,res,-0.5699759563319197,-0.76482428900315,-0.3865953764514899
3.0,discovery,False,add_mfe,real,-0.6808418011584675,-1.1216518010944119,-0.26943347648955446
3.0,discovery,False,add_mfe,null,-0.3005210872063487,-0.3674236039362103,-0.229369432856812
3.0,discovery,False,add_mfe,res,-0.38032071395211936,-0.8275529839145923,0.04985369994192376
3.0,discovery,True,final_pnl,real,0.09099263779372013,-0.3380469085303611,0.5232884211518074
3.0,discovery,True,final_pnl,null,-0.03568896499786689,-0.09826765675928205,0.02485664570437512
3.0,discovery,True,final_pnl,res,0.1266816027915876,-0.316305607286355,0.551884133083271
3.0,discovery,True,giveback,real,-0.8506738500108016,-1.046602276144733,-0.6629192666539909
3.0,discovery,True,giveback,null,-0.3192547010121926,-0.36015446625422576,-0.2765629231361482
3.0,discovery,True,giveback,res,-0.531419148998609,-0.7202960904298427,-0.3569745612858918
3.0,discovery,True,add_mfe,real,-0.7047574833378446,-1.1425544753658423,-0.2748732991632302
3.0,discovery,True,add_mfe,null,-0.30001993713082353,-0.3625372450759491,-0.232769662106479
3.0,discovery,True,add_mfe,res,-0.4047375462070215,-0.8622340563307095,0.0346791678109545
3.0,replication,False,final_pnl,real,-0.0564550783190943,-0.7530713570291069,0.597411832448418
3.0,replication,False,final_pnl,null,-0.058613202705778245,-0.14713612977025023,0.04489808387887418
3.0,replication,False,final_pnl,res,0.0021581243866841487,-0.7299162473025285,0.6625621455762546
3.0,replication,False,giveback,real,-1.1056035162814553,-1.4236476158080298,-0.8331732364893633
3.0,replication,False,giveback,null,-0.38367330033605906,-0.4507683017144604,-0.31976363007009084
3.0,replication,False,giveback,res,-0.7219302159453962,-1.0426031779750273,-0.45241043986705787
3.0,replication,False,add_mfe,real,-1.1295129472143204,-1.837512235513655,-0.4896701526714488
3.0,replication,False,add_mfe,null,-0.4097408556556085,-0.5231549726924642,-0.29576252231621386
3.0,replication,False,add_mfe,res,-0.7197720915587122,-1.430038065875175,-0.11423699296427176
3.0,replication,True,final_pnl,real,-0.05175434260255344,-0.7597887460018004,0.60483462753521
3.0,replication,True,final_pnl,null,-0.05689640859252075,-0.145308636335309,0.04404867030454496
3.0,replication,True,final_pnl,res,0.0051420659899675146,-0.7337214988736944,0.6645072216815767
3.0,replication,True,giveback,real,-1.0752790670322945,-1.4021416854276192,-0.8040062884085777
3.0,replication,True,giveback,null,-0.3819053630097582,-0.4482581749577937,-0.31753446683058123
3.0,replication,True,giveback,res,-0.6933737040225362,-1.0263123369013019,-0.4233295612657453
3.0,replication,True,add_mfe,real,-1.0957492307402703,-1.8246380810386065,-0.44750425576127206
3.0,replication,True,add_mfe,null,-0.40751759270770166,-0.5154035707072584,-0.2962981768026857
3.0,replication,True,add_mfe,res,-0.6882316380325688,-1.4128551584493707,-0.05607091310158734
3.0,pooled,False,final_pnl,real,0.11359277318094933,-0.2540681579887348,0.48713197759760374
3.0,pooled,False,final_pnl,null,-0.03582326174826923,-0.08903230683967438,0.014804320804284664
3.0,pooled,False,final_pnl,res,0.14941603492921862,-0.2195828292856447,0.5255469110938051
3.0,pooled,False,giveback,real,-0.9609058230456947,-1.133489895358624,-0.7933097854461189
3.0,pooled,False,giveback,null,-0.34874258603440056,-0.38605965020952987,-0.31132339405934983
3.0,pooled,False,giveback,res,-0.612163237011294,-0.7766534779513378,-0.4658959373055556
3.0,pooled,False,add_mfe,real,-0.7876409825547841,-1.1582124022446578,-0.42523440271027674
